hour,date,users,event_count,event_name,day
0,1/2/2019,1,1,0,0
0,1/2/2019,1,1,1,0
0,1/2/2019,1,1,2,0
0,1/2/2019,1,6,3,0
0,1/2/2019,1,1,4,14
0,1/2/2019,1,1,5,0
0,1/2/2019,1,1,6,0
0,1/2/2019,1,1,1,14
0,1/2/2019,1,5,7,0
1,1/2/2019,1,1,1,7
1,1/2/2019,1,1,0,0
1,1/2/2019,1,2,5,0
1,1/2/2019,1,1,6,7
1,1/2/2019,1,1,6,0
1,1/2/2019,1,1,8,0
1,1/2/2019,2,2,1,0
1,1/2/2019,1,1,1,1
1,1/2/2019,1,1,7,1
1,1/2/2019,1,1,3,1
1,1/2/2019,1,1,6,1
1,1/2/2019,1,1,7,0
1,1/2/2019,1,1,3,0
2,1/2/2019,2,14,3,1
2,1/2/2019,1,1,5,0
2,1/2/2019,2,2,2,1
2,1/2/2019,5,10,0,0
2,1/2/2019,1,2,1,21
2,1/2/2019,1,2,7,45
2,1/2/2019,1,2,4,21
2,1/2/2019,1,2,3,45
2,1/2/2019,1,2,2,21
2,1/2/2019,5,12,6,0
2,1/2/2019,2,13,7,1
2,1/2/2019,3,13,6,1
2,1/2/2019,1,4,7,7
2,1/2/2019,1,9,6,7
2,1/2/2019,5,80,8,0
2,1/2/2019,3,4,1,1
2,1/2/2019,1,3,3,7
2,1/2/2019,1,7,6,45
2,1/2/2019,5,5,2,0
2,1/2/2019,1,3,6,21
2,1/2/2019,1,3,0,21
2,1/2/2019,1,1,2,7
2,1/2/2019,1,1,5,1
2,1/2/2019,2,2,0,1
2,1/2/2019,1,297,8,1
2,1/2/2019,1,1,0,7
2,1/2/2019,5,20,7,0
2,1/2/2019,1,1,8,7
2,1/2/2019,5,6,1,0
2,1/2/2019,5,22,3,0
2,1/2/2019,1,1,1,7
2,1/2/2019,1,1,1,45
3,1/2/2019,1,1,5,0
3,1/2/2019,1,2,9,1
3,1/2/2019,1,1,4,21
3,1/2/2019,2,10,6,1
3,1/2/2019,2,9,8,0
3,1/2/2019,2,2,4,1
3,1/2/2019,2,2,1,0
3,1/2/2019,1,1,0,14
3,1/2/2019,1,2,5,1
3,1/2/2019,3,13,6,0
3,1/2/2019,3,8,7,0
3,1/2/2019,1,1,9,21
3,1/2/2019,1,1,2,14
3,1/2/2019,1,6,7,1
3,1/2/2019,1,4,3,1
3,1/2/2019,2,5,0,0
3,1/2/2019,3,9,3,0
3,1/2/2019,1,1,1,21
3,1/2/2019,2,3,0,1
3,1/2/2019,2,2,2,0
3,1/2/2019,1,1,6,21
3,1/2/2019,1,1,2,1
3,1/2/2019,2,2,1,1
3,1/2/2019,1,1,1,14
3,1/2/2019,1,1,6,14
4,1/2/2019,2,2,1,1
4,1/2/2019,1,1,6,21
4,1/2/2019,1,1,2,0
4,1/2/2019,1,1,3,7
4,1/2/2019,1,1,9,90
4,1/2/2019,1,1,1,90
4,1/2/2019,1,1,1,0
4,1/2/2019,1,4,3,0
4,1/2/2019,1,1,2,7
4,1/2/2019,1,1,4,7
4,1/2/2019,1,1,7,1
4,1/2/2019,2,3,1,7
4,1/2/2019,2,2,0,1
4,1/2/2019,1,1,0,21
4,1/2/2019,1,1,9,7
4,1/2/2019,1,1,1,21
4,1/2/2019,1,1,8,1
4,1/2/2019,1,1,2,21
4,1/2/2019,1,7,7,0
4,1/2/2019,1,1,0,7
4,1/2/2019,1,1,4,90
4,1/2/2019,1,1,0,0
4,1/2/2019,1,1,7,7
4,1/2/2019,2,17,6,7
4,1/2/2019,1,1,8,0
4,1/2/2019,1,1,4,21
4,1/2/2019,1,1,2,1
4,1/2/2019,1,2,6,1
5,1/2/2019,1,3,6,0
5,1/2/2019,1,1,9,1
5,1/2/2019,1,2,6,14
5,1/2/2019,3,3,4,1
5,1/2/2019,2,12,7,0
5,1/2/2019,1,1,1,14
5,1/2/2019,1,3,5,0
5,1/2/2019,2,12,3,0
5,1/2/2019,1,1,0,21
5,1/2/2019,4,5,2,1
5,1/2/2019,1,3,3,21
5,1/2/2019,1,1,0,14
5,1/2/2019,1,1,1,21
5,1/2/2019,5,7,1,1
5,1/2/2019,3,12,3,1
5,1/2/2019,2,6,7,1
5,1/2/2019,1,1,4,21
5,1/2/2019,1,1,2,21
5,1/2/2019,1,1,2,14
5,1/2/2019,1,9,7,21
5,1/2/2019,1,1,1,0
5,1/2/2019,2,4,0,0
5,1/2/2019,1,1,2,0
5,1/2/2019,1,7,6,21
5,1/2/2019,5,6,0,1
5,1/2/2019,1,2,7,14
5,1/2/2019,1,1,5,21
5,1/2/2019,1,1,3,14
5,1/2/2019,1,4,8,0
5,1/2/2019,4,19,6,1
6,1/2/2019,1,1,2,0
6,1/2/2019,1,1,2,21
6,1/2/2019,1,8,6,14
6,1/2/2019,1,1,0,14
6,1/2/2019,2,2,4,1
6,1/2/2019,3,13,6,1
6,1/2/2019,3,7,0,1
6,1/2/2019,1,1,0,21
6,1/2/2019,1,1,3,0
6,1/2/2019,1,4,5,14
6,1/2/2019,2,5,2,1
6,1/2/2019,1,1,6,21
6,1/2/2019,2,4,3,1
6,1/2/2019,1,4,7,1
6,1/2/2019,1,1,7,0
6,1/2/2019,2,2,1,21
6,1/2/2019,2,2,1,0
6,1/2/2019,1,6,9,14
6,1/2/2019,1,2,7,14
6,1/2/2019,1,2,7,90
6,1/2/2019,1,1,1,90
6,1/2/2019,2,5,9,21
6,1/2/2019,1,1,0,0
6,1/2/2019,1,5,6,90
6,1/2/2019,1,1,5,1
6,1/2/2019,2,3,4,21
6,1/2/2019,2,2,6,0
6,1/2/2019,1,1,2,14
6,1/2/2019,1,4,1,14
6,1/2/2019,3,3,1,1
6,1/2/2019,2,2,8,0
6,1/2/2019,1,2,4,14
7,1/2/2019,1,1,0,14
7,1/2/2019,2,7,5,0
7,1/2/2019,1,1,4,0
7,1/2/2019,1,2,9,14
7,1/2/2019,1,1,0,21
7,1/2/2019,1,2,6,21
7,1/2/2019,1,5,3,21
7,1/2/2019,1,2,6,1
7,1/2/2019,1,2,8,1
7,1/2/2019,1,1,2,14
7,1/2/2019,1,2,9,7
7,1/2/2019,1,16,7,7
7,1/2/2019,1,1,4,7
7,1/2/2019,1,1,1,14
7,1/2/2019,1,3,5,7
7,1/2/2019,6,17,3,0
7,1/2/2019,1,1,2,21
7,1/2/2019,1,1,1,1
7,1/2/2019,1,6,3,1
7,1/2/2019,1,4,7,1
7,1/2/2019,1,1,1,7
7,1/2/2019,1,1,0,1
7,1/2/2019,1,1,6,14
7,1/2/2019,8,8,1,0
7,1/2/2019,10,25,8,0
7,1/2/2019,1,1,4,1
7,1/2/2019,1,5,7,21
7,1/2/2019,6,11,0,0
7,1/2/2019,6,6,2,0
7,1/2/2019,7,20,7,0
7,1/2/2019,1,1,2,1
7,1/2/2019,1,10,6,7
7,1/2/2019,1,14,3,7
7,1/2/2019,2,2,9,0
7,1/2/2019,8,22,6,0
8,1/2/2019,2,2,4,1
8,1/2/2019,1,1,2,90
8,1/2/2019,8,17,6,0
8,1/2/2019,1,1,8,1
8,1/2/2019,1,4,6,90
8,1/2/2019,7,12,8,0
8,1/2/2019,1,2,4,90
8,1/2/2019,1,8,0,1
8,1/2/2019,2,2,9,0
8,1/2/2019,1,1,5,90
8,1/2/2019,1,1,1,45
8,1/2/2019,1,6,2,1
8,1/2/2019,1,10,6,1
8,1/2/2019,5,12,3,0
8,1/2/2019,1,5,7,90
8,1/2/2019,5,14,7,0
8,1/2/2019,1,2,8,14
8,1/2/2019,2,4,6,14
8,1/2/2019,1,2,1,90
8,1/2/2019,2,2,1,14
8,1/2/2019,4,6,2,0
8,1/2/2019,1,1,5,1
8,1/2/2019,1,2,9,1
8,1/2/2019,1,1,0,90
8,1/2/2019,1,1,9,90
8,1/2/2019,1,1,4,14
8,1/2/2019,1,1,2,14
8,1/2/2019,10,11,1,0
8,1/2/2019,1,1,3,14
8,1/2/2019,1,1,4,45
8,1/2/2019,1,2,7,14
8,1/2/2019,1,7,7,1
8,1/2/2019,1,2,0,14
8,1/2/2019,5,9,0,0
8,1/2/2019,2,2,5,0
8,1/2/2019,3,3,4,0
8,1/2/2019,1,4,3,90
8,1/2/2019,1,3,9,14
8,1/2/2019,1,3,3,1
8,1/2/2019,1,1,6,45
8,1/2/2019,2,2,1,1
9,1/2/2019,2,3,6,7
9,1/2/2019,1,1,9,7
9,1/2/2019,1,1,0,45
9,1/2/2019,1,3,7,14
9,1/2/2019,5,11,6,1
9,1/2/2019,1,2,6,45
9,1/2/2019,1,3,0,14
9,1/2/2019,1,1,9,45
9,1/2/2019,3,3,0,1
9,1/2/2019,1,2,4,7
9,1/2/2019,5,60,3,0
9,1/2/2019,4,4,1,1
9,1/2/2019,1,1,1,14
9,1/2/2019,1,2,3,14
9,1/2/2019,2,2,2,1
9,1/2/2019,6,29,6,0
9,1/2/2019,2,3,0,7
9,1/2/2019,6,96,8,0
9,1/2/2019,5,29,7,0
9,1/2/2019,6,6,1,0
9,1/2/2019,1,1,4,14
9,1/2/2019,1,1,2,14
9,1/2/2019,1,1,9,0
9,1/2/2019,1,2,8,14
